fighter,sig_str_landed,total_str_landed,td_landed,head_landed,body_landed,leg_landed,distance_landed,clinch_landed,ground_landed,sig_str_attempts,total_str_attempts,td_attempts,kd,sub_att,rev,ctrl_seconds,sig_str_acc,td_acc
AJ Cunningham,26.0,27.5,0.0,13.0,5.5,7.5,25.0,1.0,0.0,63.5,66.0,0.0,0.0,0.5,0.0,13.0,0.39384615384615385,0.0
AJ Dobson,48.0,62.5,1.25,26.25,7.25,14.5,41.75,4.5,1.75,107.75,127.0,1.5,0.0,0.0,0.25,106.0,0.4410282953761214,0.8333333333333333
AJ Fletcher,38.25,60.5,1.0,26.75,4.25,7.25,32.75,3.0,2.5,78.25,104.25,3.0,0.0,0.75,0.75,153.0,0.47846844193478494,0.2222222222222222
Aalon Cruz,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.5,7.5,1.5,0.0,0.0,0.0,8.0,0.08333333333333333,0.0
Aaron Brink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
Aaron Phillips,19.75,106.25,0.75,9.0,9.5,1.25,11.0,5.5,3.25,37.0,134.0,1.5,0.0,0.5,0.25,108.5,0.4974002849002849,0.3
Aaron Pico,13.0,13.0,2.0,7.0,5.0,1.0,7.0,3.0,3.0,29.0,30.0,3.0,0.0,0.0,0.0,121.0,0.4482758620689655,0.6666666666666666
Aaron Riley,34.888888888888886,64.55555555555556,0.8888888888888888,16.333333333333332,10.222222222222221,8.333333333333334,21.11111111111111,11.333333333333334,2.4444444444444446,100.44444444444444,132.22222222222223,2.5555555555555554,0.0,0.1111111111111111,0.0,123.88888888888889,0.3481714392601328,0.37916666666666665
Aaron Rosa,44.0,135.66666666666666,0.0,27.0,14.0,3.0,26.666666666666668,17.333333333333332,0.0,96.66666666666667,199.33333333333334,0.3333333333333333,0.0,0.0,0.0,20.333333333333332,0.33459360833662516,0.0
Aaron Simpson,41.27272727272727,72.72727272727273,2.909090909090909,23.0,8.818181818181818,9.454545454545455,14.909090909090908,16.727272727272727,9.636363636363637,78.18181818181819,115.0,8.363636363636363,0.5454545454545454,0.36363636363636365,0.0,291.45454545454544,0.5609929196523957,0.4934398934398934
Aaron Wilkinson,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,64.0,0.0,1.0
Abdul Razak Alhassan,22.5,26.357142857142858,0.35714285714285715,17.642857142857142,2.5714285714285716,2.2857142857142856,15.428571428571429,3.7142857142857144,3.357142857142857,45.142857142857146,49.785714285714285,1.0714285714285714,0.6428571428571429,0.07142857142857142,0.07142857142857142,55.07142857142857,0.5894567022802243,0.26666666666666666
Abdul-Kareem Al-Selwady,38.0,50.0,3.0,15.0,8.0,15.0,34.0,4.0,0.0,68.0,84.0,7.0,0.0,0.0,0.0,164.0,0.5588235294117647,0.42857142857142855
Abdul-Kerim Edilov,77.0,150.0,2.0,59.0,16.0,2.0,9.0,6.0,62.0,125.0,210.0,2.0,0.0,1.0,0.0,333.0,0.616,1.0
Abel Trujillo,24.818181818181817,33.63636363636363,1.3636363636363635,17.727272727272727,5.363636363636363,1.7272727272727273,13.181818181818182,5.7272727272727275,5.909090909090909,60.18181818181818,69.72727272727273,3.0,0.2727272727272727,0.2727272727272727,0.0,103.18181818181819,0.40834132696767866,0.5599999999999999
Abner Lloveras,94.0,99.0,2.0,55.0,33.0,6.0,76.0,18.0,0.0,189.0,194.0,10.0,0.0,0.0,0.0,173.0,0.4973544973544973,0.2
Abu Azaitar,65.66666666666667,121.33333333333333,1.0,33.0,24.0,8.666666666666666,47.666666666666664,11.333333333333334,6.666666666666667,151.0,213.33333333333334,2.6666666666666665,0.0,0.0,0.3333333333333333,117.0,0.4183143792538985,0.5
Abubakar Nurmagomedov,33.25,61.5,1.0,22.5,5.0,5.75,29.75,3.25,0.25,62.5,94.5,4.5,0.0,0.0,0.0,304.75,0.5196241017136539,0.39375
