fighter,sig_str_landed,total_str_landed,td_landed,head_landed,body_landed,leg_landed,distance_landed,clinch_landed,ground_landed,sig_str_attempts,total_str_attempts,td_attempts,kd,sub_att,rev,ctrl_seconds,sig_str_acc,td_acc
AJ Cunningham,26.0,27.5,0.0,13.0,5.5,7.5,25.0,1.0,0.0,63.5,66.0,0.0,0.0,0.5,0.0,13.0,0.39384615384615385,0.0
AJ Dobson,48.0,62.5,1.25,26.25,7.25,14.5,41.75,4.5,1.75,107.75,127.0,1.5,0.0,0.0,0.25,106.0,0.4410282953761214,0.8333333333333333
AJ Fletcher,38.25,60.5,1.0,26.75,4.25,7.25,32.75,3.0,2.5,78.25,104.25,3.0,0.0,0.75,0.75,153.0,0.47846844193478494,0.2222222222222222
Aalon Cruz,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.5,7.5,1.5,0.0,0.0,0.0,8.0,0.08333333333333333,0.0
Aaron Brink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
Aaron Phillips,19.75,106.25,0.75,9.0,9.5,1.25,11.0,5.5,3.25,37.0,134.0,1.5,0.0,0.5,0.25,108.5,0.49740028490028493,0.3
Aaron Pico,13.0,13.0,2.0,7.0,5.0,1.0,7.0,3.0,3.0,29.0,30.0,3.0,0.0,0.0,0.0,121.0,0.4482758620689655,0.6666666666666666
Aaron Riley,29.6,66.8,1.0,12.8,9.6,7.2,17.0,10.0,2.6,104.0,143.6,3.0,0.0,0.0,0.0,157.8,0.2866551593104598,0.25833333333333336
Aaron Rosa,44.0,135.66666666666666,0.0,27.0,14.0,3.0,26.666666666666668,17.333333333333332,0.0,96.66666666666667,199.33333333333334,0.3333333333333333,0.0,0.0,0.0,20.333333333333332,0.33459360833662505,0.0
Aaron Simpson,46.4,82.4,1.8,27.6,9.8,9.0,18.0,18.0,10.4,80.8,122.4,7.0,0.8,0.6,0.0,302.0,0.6085281385281386,0.3904761904761905
Aaron Wilkinson,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,64.0,0.0,1.0
Abdul Rakhman Yakhyaev,6.0,11.0,1.0,6.0,0.0,0.0,3.0,0.0,3.0,10.0,16.0,1.0,1.0,1.0,0.0,24.0,0.6,1.0
Abdul Razak Alhassan,22.8,27.8,0.6,18.6,2.6,1.6,10.2,4.2,8.4,42.6,48.4,1.6,0.4,0.2,0.0,105.8,0.5542359767891682,0.25
Abdul-Kareem Al-Selwady,38.0,50.0,3.0,15.0,8.0,15.0,34.0,4.0,0.0,68.0,84.0,7.0,0.0,0.0,0.0,164.0,0.5588235294117647,0.42857142857142855
Abdul-Kerim Edilov,77.0,150.0,2.0,59.0,16.0,2.0,9.0,6.0,62.0,125.0,210.0,2.0,0.0,1.0,0.0,333.0,0.616,1.0
Abel Trujillo,15.8,22.0,1.0,12.6,2.4,0.8,13.4,1.2,1.2,43.0,49.4,3.2,0.0,0.2,0.0,99.4,0.3632877539127539,0.3416666666666667
Abner Lloveras,94.0,99.0,2.0,55.0,33.0,6.0,76.0,18.0,0.0,189.0,194.0,10.0,0.0,0.0,0.0,173.0,0.4973544973544973,0.2
Abu Azaitar,65.66666666666667,121.33333333333333,1.0,33.0,24.0,8.666666666666666,47.666666666666664,11.333333333333334,6.666666666666667,151.0,213.33333333333334,2.6666666666666665,0.0,0.0,0.3333333333333333,117.0,0.4183143792538985,0.5
Abubakar Nurmagomedov,33.25,61.5,1.0,22.5,5.0,5.75,29.75,3.25,0.25,62.5,94.5,4.5,0.0,0.0,0.0,304.75,0.5196241017136539,0.39375
Abus Magomedov,35.0,56.6,2.4,20.6,10.6,3.8,29.6,1.0,4.4,71.2,104.0,4.0,0.0,0.4,0.0,229.8,0.5589148743846111,0.6517857142857143
Adam Cella,2.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
Adam Fugitt,37.6,43.0,1.0,16.8,14.4,6.4,34.2,2.2,1.2,81.2,88.6,4.0,0.0,0.0,0.0,70.0,0.486585262033136,0.17410714285714285
