event,fighter_name,opponent_name,weightclass,method,round,time,time_format,details,outcome
UFC Fight Night: Oliveira vs. Gamrot,Charles Oliveira,Mateusz Gamrot,Lightweight Bout,Submission,2,2:48,5 Rnd (5-5-5-5-5),Rear Naked Choke,Win
UFC Fight Night: Oliveira vs. Gamrot,Mateusz Gamrot,Charles Oliveira,Lightweight Bout,Submission,2,2:48,5 Rnd (5-5-5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Oliveira vs. Gamrot,Deiveson Figueiredo,Montel Jackson,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Clemens Werner 28 - 29.Fabio Alves 29 - 28.Jerin Valel 28 - 29.,Win
UFC Fight Night: Oliveira vs. Gamrot,Montel Jackson,Deiveson Figueiredo,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Clemens Werner 28 - 29.Fabio Alves 29 - 28.Jerin Valel 28 - 29.,Loss
UFC Fight Night: Oliveira vs. Gamrot,Vicente Luque,Joel Alvarez,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mateus Fonseca 26 - 30.Sal D'amato 26 - 30.David Lethaby 26 - 30.,Loss
UFC Fight Night: Oliveira vs. Gamrot,Joel Alvarez,Vicente Luque,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mateus Fonseca 26 - 30.Sal D'amato 26 - 30.David Lethaby 26 - 30.,Win
UFC Fight Night: Oliveira vs. Gamrot,Jhonata Diniz,Mario Pinto,Heavyweight Bout,KO/TKO,2,4:10,3 Rnd (5-5-5),Punches to Head From Mount,Loss
UFC Fight Night: Oliveira vs. Gamrot,Mario Pinto,Jhonata Diniz,Heavyweight Bout,KO/TKO,2,4:10,3 Rnd (5-5-5),Punches to Head From Mount,Win
UFC Fight Night: Oliveira vs. Gamrot,Ricardo Ramos,Kaan Ofli,Featherweight Bout,Submission,1,3:02,3 Rnd (5-5-5),Rear Naked Choke,Loss
UFC Fight Night: Oliveira vs. Gamrot,Kaan Ofli,Ricardo Ramos,Featherweight Bout,Submission,1,3:02,3 Rnd (5-5-5),Rear Naked Choke,Win
UFC Fight Night: Oliveira vs. Gamrot,Lucas Almeida,Michael Aswell Jr.,Featherweight Bout,KO/TKO,1,1:42,3 Rnd (5-5-5),Punches to Head From Mount,Loss
UFC Fight Night: Oliveira vs. Gamrot,Michael Aswell Jr.,Lucas Almeida,Featherweight Bout,KO/TKO,1,1:42,3 Rnd (5-5-5),Punches to Head From Mount,Win
UFC Fight Night: Oliveira vs. Gamrot,Jafel Filho,Clayton Carpenter,Flyweight Bout,Submission,1,4:42,3 Rnd (5-5-5),Kimura From Bottom Half Guard,Win
UFC Fight Night: Oliveira vs. Gamrot,Clayton Carpenter,Jafel Filho,Flyweight Bout,Submission,1,4:42,3 Rnd (5-5-5),Kimura From Bottom Half Guard,Loss
